Doctor Name,Experience,Speciality,Fees,Rating,Locality,City
Dr. J M Akbar Khalifulla,45,Internal Medicine,700,82% ,Anna Nagar,Chennai
Dr. K.Subramanyan,37,Cardiologist,1000,100% ,Vadapalani,Chennai
Dr. Muthurathinam,17,Laparoscopic Surgeon,750,100% ,Ambattur,Chennai
Dr. Sengottu Velu,31,Cardiologist,1500,100% ,Greams Road,Chennai
Dr. R.Senthilnathan,27,Pediatric Surgeon,800,78% ,Kodambakkam,Chennai
Dr. Palaniappan,28,General Physician,500,99% ,Kodambakkam,Chennai
Dr. Najumudeen,18,Dentist,250,94% ,Velachery,Chennai
Dr. Shraddha,20,Dermatologist,1000,100% ,Greams Road,Chennai
Dr. Hari Priya A,7,Dermatologist,700,99% ,Anna Nagar,Chennai
Dr. Chandra Lekha,8,Dentist,200,100% ,Pallavaram,Chennai
Dr. Dinesh Jothimani,23,Gastroenterologist,600,100% ,Chromepet,Chennai
Dr. Lavanya R,7,Dentist,150,100% ,Nanganallur,Chennai
Dr. Ravi K. Viswanathan,34,General Physician,1000,83% ,Greams Road,Chennai
Dr. Vivek Iyer,16,Neurologist,1500,83% ,Vadapalani,Chennai
Dr. Nalli Gopinath,31,Orthopedist,500,100% ,MRC Nagar,Chennai
Dr. Deepa Easow,32,Pediatrician,500,100% ,Kilpauk,Chennai
Dr. M S Vidyasagar,40,Oncologist,1000,100% ,Adyar,Chennai
Dr. Prakash Selvam,21,Orthopedist,500,94% ,Greams Road,Chennai
Dr. Swati Kapadia,33,Gynecologist/Obstetrician,800,93% ,Sholinganallur,Chennai
Dr. Shanthi Priya,11,Dentist,300,98% ,Selaiyur,Chennai
Dr. Kalaivani,22,Dentist,200,100% ,Kandanchavadi,Chennai
Dr. Rama Narasimhan,26,Internal Medicine,500,70% ,Greams Road,Chennai
Dr. Ramachandran.K,39,Plastic Surgeon,800,100% ,MRC Nagar,Chennai
Dr. Vikram,10,Dentist,200,100% ,Ashok Nagar,Chennai
Dr. Sudha Balasubramanian,28,General Physician,500,100% ,Nanganallur,Chennai
Dr. S Anbu,42,Pediatrician,350,100% ,Tondiarpet,Chennai
Dr. Karthikha,11,Gynecologist/Obstetrician,700,100% ,T Nagar,Chennai
Dr. Karthikha,11,Gynecologist/Obstetrician,700,100% ,T Nagar,Chennai
Dr. Mythili,22,Psychiatrist,2500,98% ,Pallavaram,Chennai
Dr. Vignesh Sayee Rajan,13,Neurosurgeon,800,100% ,Manapakkam,Chennai
Dr. P. Rajkumar,25,Oncologist,500,100% ,Teynampet,Chennai
Dr. Mohamed Mansoor Iqbal,13,General Physician,800,100% ,Manapakkam,Chennai
Dr. Agnetia Vinoth Antoni Das,13,Neurosurgeon,800,100% ,Manapakkam,Chennai
Dr. R Sundararaman,39,General Physician,700,100% ,Vadapalani,Chennai
Dr. Suresh Gunasekaran,12,Urologist,800,100% ,Manapakkam,Chennai
Dr. S. Balasubramaniam,32,Nephrologist,1500,88% ,Greams Road,Chennai
Dr. Sankar Srinivasan,33,Oncologist,800,100% ,Greams Road,Chennai
Dr. Durai Ravi,13,Laparoscopic Surgeon,500,95% ,MRC Nagar,Chennai
Dr. Robert Mao,41,Cardiologist,1500,50% ,Greams Road,Chennai
Dr. Arulselvan V L,34,Neurologist,1000,87% ,Greams Road,Chennai
Dr. Aftab Mateen,32,Dermatologist,800,100% ,Anna Nagar,Chennai
Dr. Madhan Thiruvengada,26,Orthopedist,700,89% ,OMR Road,Chennai
Dr. K.Karthik Kailash,36,Spine Surgeon,700,75% ,MRC Nagar,Chennai
Dr. Lakshmi Narasimhan,36,General Physician,800,86% ,Kilpauk,Chennai
Dr. Vijesh Jeya Kumar,11,Cardiologist,800,93% ,Manapakkam,Chennai
Dr. Antionetta Ashwini J,12,Dermatologist,700,86% ,T Nagar,Chennai
Dr. R.Balaji Srikanth,19,Dentist,600,83% ,Chromepet,Chennai
Dr. Pradeep Balaji,11,Neurosurgeon,800,74% ,Manapakkam,Chennai
Dr. K Thiruppathi,17,General Physician,600,100% ,Vadapalani,Chennai
Dr. Premkumar Balachandran,27,General Surgeon,700,100% ,OMR Road,Chennai
Dr. BalaMurugan S,26,Neurosurgeon,500,100% ,Kilpauk,Chennai
Dr. Shoukat Ali Abbas,44,Internal Medicine,500,100% ,Greams Road,Chennai
Dr. Prem A.P,34,General Surgeon,1000,100% ,Greams Road,Chennai
Dr. Joyson Moses,23,Dentist,200,95% ,Mogappair East,Chennai
Dr. Aditya Shah,13,Gastroenterologist,1000,98% ,Tharamani,Chennai
Dr. Sarasa Kavitha.D,19,Dentist,500,100% ,Vadapalani,Chennai
Dr. R Murali,27,Plastic Surgeon,500,95% ,Tondiarpet,Chennai
Dr. V Vasanthi,15,Gynecologist/Obstetrician,600,100% ,Kolathur,Chennai
Dr. V. Ravi,27,Orthopedist,1000,50% ,Greams Road,Chennai
Dr. Senthil Kumar Durai,16,Orthopedist,1000,83% ,Greams Road,Chennai
Dr. Saritha,18,Psychiatrist,1000,97% ,Anna Nagar East,Chennai
Dr. A N Ramesh,5,Cardiologist,800,100% ,Alwarpet,Chennai
Dr. Jayakumar Reddy,25,Pediatrician,500,93% ,Thousand Lights,Chennai
Dr. Govindaraj,42,General Physician,1500,73% ,Anna Nagar,Chennai
Dr. Prahlad,23,Pediatrician,950,92% ,Saidapet,Chennai
Dr. P. Rajasekar,29,Orthopedist,1000,88% ,Greams Road,Chennai
Dr. Ashwin Nehrudhas,12,Dentist,500,100% ,Mylapore,Chennai
Dr. Karthik Anand,13,Orthopedist,800,100% ,Anna Nagar,Chennai
Dr. N S Saradha,28,Gynecologist/Obstetrician,800,100% ,Vadapalani,Chennai
Dr. D. Shanmuga Priyan,12,Dentist,1500,100% ,Mogappair East,Chennai
Dr. Viswanathan M S,26,Pediatrician,1000,75% ,Thousand Lights,Chennai
Dr. Balamourougane P,27,Pediatric Surgeon,500,100% ,Thousand Lights,Chennai
Dr. Ravishankar L S,37,Urologist,1200,71% ,Teynampet,Chennai
Dr. Dakshayani D,35,Gynecologist/Obstetrician,800,91% ,Anna Nagar,Chennai
Dr. Shyamala J,33,General Physician,500,40% ,Kilpauk,Chennai
Dr. Prithiviraj,7,General Physician,500,100% ,Mogappair,Chennai
Dr. Sarita Vinod Dasari,32,Nephrologist,800,100% ,MRC Nagar,Chennai
Dr. Sivakumar Chandrasekaran,26,Gynecologist/Obstetrician,600,100% ,T Nagar,Chennai
Dr. Nivedita S,12,Gynecologist/Obstetrician,800,100% ,Sholinganallur,Chennai
Dr. A Shafath Ahmed,26,Dentist,500,100% ,Vadapalani,Chennai
Dr. R. Premkumar,30,General Surgeon,800,100% ,Kilpauk,Chennai
Dr. Thalapathy Ramkumar,26,Ear-Nose-Throat (ENT) Specialist,600,100% ,T Nagar,Chennai
Dr. Pradeep S,13,Dentist,500,100% ,Teynampet,Chennai
Dr. Ranjith,12,Dentist,500,94% ,Nungambakkam,Chennai
Dr. Ajay Narasimhan,13,Cardiothoracic Surgeon,1000,100% ,Greams Road,Chennai
Dr. Kannan Prema,22,Plastic Surgeon,2000,89% ,Greams Road,Chennai
Dr. Sura Pushpalatha,25,Gynecologist/Obstetrician,800,100% ,Sholinganallur,Chennai
Dr. Sherren Raveendran,19,Ophthalmologist,400,50% ,Velachery,Chennai
Dr. Deenadayalan M,28,Pediatrician,600,100% ,Chromepet,Chennai
Dr. S. Uma Chandran,53,General Physician,1500,100% ,Greams Road,Chennai
Dr. Jayashree Krishnan,32,General Physician,800,56% ,Vanagaram,Chennai
Dr. Arul E D,22,Cardiologist,1000,91% ,OMR Road,Chennai
Dr. Shivaram Bharadhwaj,37,General Physician,1000,100% ,Teynampet,Chennai
Dr. Sudeeptha Kumar Swain,18,Gastroentrology Surgeon,1000,100% ,Greams Road,Chennai
Dr. Ramya CV,12,Ear-Nose-Throat (ENT) Specialist,350,86% ,Madipakkam,Chennai
Dr. Muralidharan Manikes,34,General Surgeon,1000,98% ,Greams Road,Chennai
Dr. M. Balamurugan,25,Neurosurgeon,1500,92% ,Teynampet,Chennai
Dr. Chandrasekar K,34,Neurosurgeon,1500,100% ,Teynampet,Chennai
Dr. Sangeetha Visheswar,24,Gynecologist/Obstetrician,700,95% ,Velachery,Chennai
Dr. Vasanth,16,Psychiatrist,1000,91% ,OMR Road,Chennai
Dr. Geetha Lakshmipathy,40,Neurologist,1500,100% ,Greams Road,Chennai
Dr. K Uma Maheswari,21,Dermatologist,750,91% ,Anna Nagar West,Chennai
Dr. Dilshad Banu,8,Dentist,200,100% ,Sholinganallur,Chennai
Dr. N Thamil Pavai,27,Neurologist,800,100% ,Anna Nagar,Chennai
Dr. Anusha Rajendran,9,Dentist,350,100% ,Anna Nagar West,Chennai
Dr. Ashwathi Janakiram,3,Psychiatrist,1000,100% ,Porur,Chennai
Dr. Usha Srinivas,30,Gastroenterologist,1500,67% ,Greams Road,Chennai
Dr. Rajesh Daniel,28,General Surgeon,700,78% ,MRC Nagar,Chennai
Dr. Rajendran B,33,Oncologist,800,88% ,Teynampet,Chennai
Dr. T Aarthi Priya,25,Rheumatologist,700,100% ,Anna Nagar,Chennai
Dr. L Somu,27,Ear-Nose-Throat (ENT) Specialist,750,100% ,Porur,Chennai
Dr. Sitamanisahoo,50,Gynecologist/Obstetrician,1000,100% ,Kilpauk,Chennai
Dr. Ramkumar G,27,Gastroenterologist,400,100% ,Tondiarpet,Chennai
Dr. Vasanthi Natesan,54,Gynecologist/Obstetrician,700,88% ,T Nagar,Chennai
Dr. Barath Kumar.M,20,General Physician,700,100% ,OMR Road,Chennai
Dr. Vikas Mahajan,27,Oncologist,800,100% ,Teynampet,Chennai
Dr. Aasim Anees Hussain,14,General Surgeon,1000,100% ,Teynampet,Chennai
Dr. K Sandhya,21,Gynecologist/Obstetrician,800,98% ,Anna Nagar,Chennai
Dr. Priyalatha Krishnan,22,Pediatrician,500,100% ,Anna Nagar,Chennai
Dr. K Shanmuganandan,36,Internal Medicine,1000,100% ,Greams Road,Chennai
Dr. Divakar D,41,General Physician,800,100% ,Kodambakkam,Chennai
Dr. K Krishnamoorthy,25,Orthopedist,1500,100% ,Greams Road,Chennai
Dr. C. M. Thiagarajan,41,Nephrologist,800,100% ,Kodambakkam,Chennai
Dr. S Asha Devi,15,Gynecologist/Obstetrician,500,100% ,OMR Road,Chennai
Dr. Rajarajan Venkatesan,21,General Physician,500,100% ,Greams Road,Chennai
Dr. Renu watwani   (Physiotherapist),15,Physiotherapist,600,100% ,Vyasarpadi,Chennai
Dr. Ajit Pai,20,Oncologist,1000,100% ,Teynampet,Chennai
Dr. Sivagnana Sundaram Devanayagam,39,Endocrinologist,1000,100% ,Greams Road,Chennai
Dr. Vinod Kumar,24,Pulmonologist,1000,100% ,Kilpauk,Chennai
Dr. Ayesha Shahnaz,9,Pediatrician,800,89% ,Thousand Lights,Chennai
Dr. Lazarus Rajiv B Padankatti,26,General Surgeon,600,100% ,Thousand Lights,Chennai
Dr. Prof K Kalaichelvi,38,Oncologist,1000,100% ,Teynampet,Chennai
Dr. K.Shanmugasundaram,29,Neurologist,700,100% ,Velachery,Chennai
Dr. Shankar Ganesh,22,Neurosurgeon,1500,89% ,Teynampet,Chennai
Dr. Sarojini Parameswaran,28,Gastroenterologist,1500,100% ,Greams Road,Chennai
Dr. Nitya Narayanan,28,Ear-Nose-Throat (ENT) Specialist,700,100% ,Thousand Lights,Chennai
Dr. Sathish Manivel,22,Plastic Surgeon,750,100% ,Kilpauk,Chennai
Dr. Dinesh Choudary,5,General Physician,700,100% ,Kilpauk,Chennai
Dr. B. Subba Rao,41,Nephrologist,1000,75% ,Greams Road,Chennai
Dr. Murali Ramamoorthy,24,General Physician,700,83% ,Kilpauk,Chennai
Dr. Neranjana.P,16,Gynecologist/Obstetrician,600,88% ,T Nagar,Chennai
Dr. Mathangi,20,Gynecologist/Obstetrician,800,80% ,Saidapet,Chennai
Dr. D.Shantharam,39,Diabetologist,1000,100% ,Greams Road,Chennai
Dr. Aparna Vishwakiran,20,Gynecologist/Obstetrician,300,100% ,Anna Nagar,Chennai
Dr. Jayashree Sharma,26,Gynecologist/Obstetrician,650,99% ,West Mambalam,Chennai
Dr. Rithesh R  Nair,25,Neurologist,800,100% ,Vadapalani,Chennai
Dr. Chinthu M,10,Gynecologist/Obstetrician,500,100% ,Kolathur,Chennai
Dr. A.Natarajan,39,General Physician,800,100% ,Anna Nagar,Chennai
Dr. Kamakshi,25,Plastic Surgeon,700,100% ,OMR Road,Chennai
Dr. Jothi Shankar P,34,General Surgeon,600,100% ,Velachery,Chennai
Dr. Latha Kanchi Parthasarathy,26,Pediatrician,700,99% ,Thousand Lights,Chennai
Dr. Sunandha,11,Ear-Nose-Throat (ENT) Specialist,400,75% ,Mylapore,Chennai
Dr. S. Saravanan,24,Oncologist,750,100% ,Chetpet,Chennai
Dr. Thirumalai Ganesan Govindasamy,38,Urologist,500,100% ,Greams Road,Chennai
Dr. Saranya B,14,Dermatologist,500,100% ,T Nagar,Chennai
Dr. Vijayaprabha,20,Dentist,500,100% ,Thiruvanmiyur,Chennai
Dr. Ram Gopalakrishnan,35,Infectious Diseases Physician,1200,100% ,Greams Road,Chennai
Dr. Deepak Raghavan,19,Urologist,1000,94% ,Greams Road,Chennai
Dr. Balaji R,19,Ear-Nose-Throat (ENT) Specialist,1000,100% ,Greams Road,Chennai
Dr. Lakshmi Varadarajalu,25,Pulmonologist,1000,100% ,Greams Road,Chennai
Dr. Murugan Natarajan,37,General Physician,1000,100% ,Greams Road,Chennai
Dr. Shashi Bhushan,43,Plastic Surgeon,1500,100% ,Greams Road,Chennai
Dr. K. Sajan Hegde,43,Orthopedist,1500,71% ,Greams Road,Chennai
Dr. T.Arul Mozhi,25,Neurologist,1200,93% ,Anna Nagar,Chennai
Dr. Sivakumar K S,32,Plastic Surgeon,1500,100% ,Greams Road,Chennai
Dr. Barathkumar Mookiah,24,Gastroenterologist,700,100% ,Kilpauk,Chennai
Dr. Muthu Jayaraman,27,Nephrologist,1300,89% ,T Nagar,Chennai
Dr. Chitra .J.A,16,Gynecologist/Obstetrician,800,95% ,Anna Nagar,Chennai
Dr. Monisha M.R,13,Gynecologist/Obstetrician,500,89% ,Anna Nagar,Chennai
Dr. Vinay,16,Dentist,500,100% ,Kodambakkam,Chennai
Dr. Pooja Prethi,6,Homoeopath,300,100% ,Tambaram West,Chennai
Dr. Chitra,25,Pediatrician,1000,100% ,Thousand Lights,Chennai
Dr. L.F. Sridhar,38,Cardiothoracic Surgeon,1000,100% ,Greams Road,Chennai
Dr. Murali Venkatraman,41,General Surgeon,1500,100% ,Greams Road,Chennai
Dr. M. Gowri Shankar,27,Ear-Nose-Throat (ENT) Specialist,1000,100% ,Thousand Lights,Chennai
Dr. N. Sekar,11,Pulmonologist,500,100% ,Ambattur,Chennai
Dr. Revathy Shanmugam,25,Gastroenterologist,1500,100% ,Greams Road,Chennai
Dr. Anupama K,19,General Physician,700,100% ,Kilpauk,Chennai
Dr. Gopalaratnam N,36,Orthopedist,500,80% ,Nanganallur,Chennai
Dr. Arun K Ramanathan,27,Orthopedist,700,75% ,OMR Road,Chennai
Dr. M.G.Shekar,24,Urologist,700,100% ,OMR Road,Chennai
Dr. Indra Venkatraman,34,Gynecologist/Obstetrician,600,100% ,Kilpauk,Chennai
Dr. Vishnu Vandana,24,Gynecologist/Obstetrician,1000,100% ,Thousand Lights,Chennai
Dr. A N Vaidhyswaran,41,Oncologist,800,100% ,Teynampet,Chennai
Dr. Vimal Kumar G,17,Pediatrician,600,96% ,Chromepet,Chennai
Dr. Niveditha Bharathy,26,Gynecologist/Obstetrician,1000,33% ,Teynampet,Chennai
Dr. Deepa Gopinath,11,Psychiatrist,1000,83% ,Madipakkam,Chennai
Dr. Muthu krishnan,46,Psychiatrist,1500,100% ,Greams Road,Chennai
Dr. Porselvi Rajin,21,Gastroenterologist,1000,100% ,Kilpauk,Chennai
Dr. Vijay Shankar S,36,Cardiothoracic Surgeon,1000,100% ,Greams Road,Chennai
Dr. J. Panthala Rajakumaran,13,Orthopedist,1000,88% ,Kilpauk,Chennai
Dr. C Dev Krishna Bharathi,14,Andrologist,800,50% ,Anna Nagar,Chennai
Dr. Shruthi Sreedhar,13,Gynecologist/Obstetrician,450,100% ,Royapettah,Chennai
Dr. Berlin  Nadhiya,11,Homoeopath,700,100% ,Porur,Chennai
Dr. Sripathi V,19,General Physician,1000,100% ,Thousand Lights,Chennai
Dr. Jayashree Narasimhan,30,Pulmonologist,500,95% ,Teynampet,Chennai
Dr. Kutti Sai Swetha,7,Dermatologist,800,100% ,Semmancheri,Chennai
Dr. Epari Satish Kumar,28,Cardiologist,1000,80% ,Anna Nagar,Chennai
Dr. Major Uma Maheshwari Murugesan,22,Reproductive Endocrinologist (Infertility),1000,100% ,Anna Nagar,Chennai
Dr. Sundararaman P G,32,Endocrinologist,1000,100% ,Greams Road,Chennai
Dr. Phinlin Florida,13,Dentist,500,95% ,Velachery,Chennai
Dr. Ramya S,23,Dentist,500,50% ,Vanagaram,Chennai
Dr. Vijayakumar S,51,Psychiatrist,700,60% ,Santhome,Chennai
Dr. Sundararajan,26,General Physician,500,100% ,Greams Road,Chennai
Dr. Prem Karthik   (Physiotherapist),14,Physiotherapist,300,100% ,Valasaravakkam,Chennai
Dr. Ritika Khanna,8,Hair Transplant Surgeon,1000,100% ,T Nagar,Chennai
Dr. Rajasekar B,37,General Physician,1000,100% ,Greams Road,Chennai
Dr. Sanjay Chandrasekar,30,General Physician,1000,100% ,Teynampet,Chennai
Dr. Suresh Kumar B C,6,Orthopedist,500,100% ,Kilpauk,Chennai
Dr. Venkatesh B.S,13,Gastroentrology Surgeon,750,100% ,Nungambakkam,Chennai
Dr. Imran   (Physiotherapist),2,Physiotherapist,400,100% ,Mogappair East,Chennai
Dr. Raj Prabharakaran,29,Ear-Nose-Throat (ENT) Specialist,700,100% ,Kilpauk,Chennai
Dr. Chandra Sekar Chandilya,46,General Physician,1000,100% ,Greams Road,Chennai
Dr. Srinivas Chilukuri,16,Oncologist,2000,100% ,Tharamani,Chennai
Dr. Suresh Natarajan,20,Pediatrician,800,50% ,Saidapet,Chennai
Dr. Mohammed Ibrahim B.K,11,General Surgeon,800,100% ,Vadapalani,Chennai
Dr. Gomathi R G,7,Pulmonologist,700,100% ,Kilpauk,Chennai
Dr. Hemalatha Pugalendhi,35,Gynecologist/Obstetrician,1000,100% ,Anna Nagar,Chennai
Dr. Magesh R,28,Geriatrician,600,86% ,Greams Road,Chennai
Dr. Sripriya Rajan,26,Oncologist,800,100% ,Teynampet,Chennai
Dr. Balaji Venkatachalam,18,Diabetologist,1000,100% ,Teynampet,Chennai
Dr. Ashok Kumar P S,18,Orthopedist,800,100% ,Vadapalani,Chennai
Dr. Bhuvanashree N,9,Dermatologist,700,75% ,Adyar,Chennai
Dr. Kumaresan M N,22,Plastic Surgeon,1500,96% ,Greams Road,Chennai
Dr. Sirisha P,20,Gynecologist/Obstetrician,500,50% ,Valasaravakkam,Chennai
Dr. L Manikandan,14,Oncologist,800,96% ,Kodambakkam,Chennai
Dr. Divya R,13,Dentist,500,100% ,Guindy,Chennai
Dr. Karthic Suman Nath K N,21,Pediatrician,450,78% ,Nanganallur,Chennai
Dr. P Gopinath Menon,19,Orthopedist,1000,100% ,Thousand Lights,Chennai
Dr. Revathi Raj,30,Pediatrician,1000,100% ,Teynampet,Chennai
Dr. Jothi Parthasarathy,35,Paediatric Intensivist,1000,100% ,Thousand Lights,Chennai
Dr. Srikanth Muralikrishnan,27,General Physician,700,100% ,Kilpauk,Chennai
Dr. Hariharan Muthuswamy,28,Gastroenterologist,1000,71% ,Greams Road,Chennai
Dr. Prithviraj T,32,General Surgeon,1000,75% ,Greams Road,Chennai
Dr. Sunny K Mehra,16,Ear-Nose-Throat (ENT) Specialist,1000,100% ,MRC Nagar,Chennai
Dr. Maheswari D,13,Gynecologist/Obstetrician,1000,100% ,Anna Nagar,Chennai
Dr. Nalli R Yuvaraj,36,Orthopedist,800,33% ,MRC Nagar,Chennai
Dr. R. Shivaa Mohan,13,General Physician,1000,100% ,Vadapalani,Chennai
Dr. Prashant Pratap Salunkhe,27,General Physician,700,67% ,Kilpauk,Chennai
Dr. Chandrasekar Chandilya,46,Internal Medicine,1000,50% ,Greams Road,Chennai
Dr. G. Manokaran,45,Plastic Surgeon,1000,100% ,Greams Road,Chennai
Dr. Chandran Abraham,8,General Physician,800,100% ,Kilpauk,Chennai
Dr. Ramanan S G,27,General Physician,1000,100% ,Teynampet,Chennai
Dr. Nithya Narayanan,28,Ear-Nose-Throat (ENT) Specialist,1000,100% ,Greams Road,Chennai
Dr. Safi Naaz,36,Internal Medicine,500,67% ,Greams Road,Chennai
Dr. Sunita Samal,24,Gynecologist/Obstetrician,600,100% ,Thousand Lights,Chennai
Dr. Dhwaraga J,19,Gynecologist/Obstetrician,800,100% ,OMR Road,Chennai
Dr. P. Sakthivel,22,Dentist,200,89% ,Thoraipakkam,Chennai
Dr. Ragavan Narasimhan,24,Urologist,1000,100% ,Greams Road,Chennai
Dr. Sajai Varghese,23,Dermatologist,1000,77% ,Kilpauk,Chennai
Dr. Malathi Sathiyasekaran,47,Pediatrician,1200,100% ,Anna Nagar,Chennai
Dr. Prabhakaran M,43,Ear-Nose-Throat (ENT) Specialist,1500,92% ,Greams Road,Chennai
Dr. Shanta Bhaskaran,42,General Physician,1000,100% ,Thousand Lights,Chennai
Dr. S. Rajendran,31,Neurologist,600,100% ,Greams Road,Chennai
Dr. M Seetha,17,Cardiologist,1300,100% ,T Nagar,Chennai
Dr. Hari Krishna,27,Internal Medicine,1000,100% ,Greams Road,Chennai
Dr. Sudha Anantha Krishnan,26,General Physician,500,60% ,Kilpauk,Chennai
Dr. Bhaskar S,33,Internal Medicine,500,100% ,Greams Road,Chennai
Dr. Surendran R,28,GastroIntestinal Surgeon,1000,100% ,Greams Road,Chennai
Dr. Praveen,13,Dentist,200,38% ,Mylapore,Chennai
Dr. T. Raja,26,Oncologist,1000,100% ,Greams Road,Chennai
Dr. Anil Vaidya,33,General Surgeon,1500,100% ,Anna Nagar,Chennai
Dr. Allen S Raveendran,9,Ophthalmologist,400,100% ,Velachery,Chennai
Dr. Sunder Thirugnana Sambandan,27,Cardiothoracic Surgeon,1000,100% ,Greams Road,Chennai
Dr. Vijaikumar C,46,General Physician,1500,100% ,Greams Road,Chennai
Dr. Bevin S,17,Psychiatrist,1000,75% ,Valasaravakkam,Chennai
Dr. Narassa Narayani,26,Gynecologist/Obstetrician,1000,50% ,Teynampet,Chennai
Dr. J Vijayan,41,General Surgeon,800,100% ,Kodambakkam,Chennai
Dr. Aswini Ranjiga R P,10,Dentist,200,100% ,Kodambakkam,Chennai
Ms. Madumitha Selvaraj,12,Psychologist,1500,100% ,OMR Road,Chennai
Dr. Meena Thiagarajan,18,General Physician,700,75% ,Thousand Lights,Chennai
Dr. Srikanth M,26,Hematologist,1200,55% ,Greams Road,Chennai
Dr. Rowan Monteiro,6,Dermatologist,500,100% ,Adyar,Chennai
Dr. Jerald M Yuvaraj   (Physiotherapist),20,Physiotherapist,500,86% ,Teynampet,Chennai
Dr. Deepakumaran,15,Dentist,400,100% ,Chromepet,Chennai
Dr. B Harriprasad,10,Gastroenterologist,500,100% ,Aminjikarai,Chennai
Dr. Sreepriya Sundaram,23,Gynecologist/Obstetrician,1000,50% ,Thousand Lights,Chennai
Dr. Vijayakumar G,41,General Physician,1000,100% ,Teynampet,Chennai
Dr. Suresh Kumar G D,25,Psychiatrist,1000,100% ,Thousand Lights,Chennai
Dr. Sadhana Dhavapalani,28,General Physician,1000,100% ,Greams Road,Chennai
Dr. Sunitha Lakshmi,4,Yoga and Naturopathy,300,33% ,Nanganallur,Chennai
Dr. Seral Kannan,20,Urologist,800,100% ,Vadapalani,Chennai
Dr. Koushik V V,28,General Physician,1000,80% ,Greams Road,Chennai
Dr. R Vasanth,14,Dentist,500,29% ,Kolathur,Chennai
Dr. Siva Muthukumar,25,Cardiologist,700,94% ,OMR Road,Chennai
Dr. Uma Krishnaswamy,44,General Surgeon,1500,100% ,Greams Road,Chennai
Dr. Kathiresan N,26,Oncologist,700,100% ,OMR Road,Chennai
Dr. Suresh Paramasivam,14,Neurosurgeon,500,100% ,Mylapore,Chennai
Dr. Pichai Suryanarayan,33,Orthopedist,800,100% ,Vadapalani,Chennai
Dr. Balakumaran S,20,Gastroenterologist,800,100% ,Kilpauk,Chennai
Dr. Mani C S,17,General Physician,1000,100% ,Teynampet,Chennai
Dr. Anand Murugesan,20,Pain Management Specialist,1000,100% ,Greams Road,Chennai
Dr. Mohan M   (Physiotherapist),5,Physiotherapist,400,100% ,Porur,Chennai
Dr. Balaji Venu Gopal,37,General Physician,1000,80% ,Greams Road,Chennai
Dr. Shobhana Rajendran,20,Pediatrician,800,100% ,Saidapet,Chennai
Dr. Manjushree Naik,34,Plastic Surgeon,1000,100% ,Teynampet,Chennai
Dr. D. Kavitha,25,Gynecologist/Obstetrician,600,100% ,OMR Road,Chennai
Dr. Shiva Singh Shekhawat,19,Gynecologist/Obstetrician,1000,100% ,Thousand Lights,Chennai
Dr. Piramanayagam P,18,Gastroenterologist,1500,100% ,Greams Road,Chennai
Dr. Rajkumar,18,Pulmonologist,700,100% ,OMR Road,Chennai
Dr. G B Rajan,28,Plastic Surgeon,700,100% ,OMR Road,Chennai
Dr. T S Srinath,27,Cardiologist,1000,85% ,Vadapalani,Chennai
Dr. Ananth S,38,General Physician,1000,100% ,Teynampet,Chennai
Dr. Katheeja Nasika,6,Dermatologist,600,94% ,Chromepet,Chennai
Dr. Pandiaraj R A,35,General Surgeon,1000,100% ,Greams Road,Chennai
Dr. Sowminarayanan R,37,General Physician,1000,100% ,Teynampet,Chennai
Dr. Sapna Nangia,27,Oncologist,2000,85% ,Tharamani,Chennai
Dr. Antony Aravindh,37,General Physician,1000,100% ,Teynampet,Chennai
Dr. Saptarshi Bishnu,14,Gastroenterologist,1000,100% ,Greams Road,Chennai
Dr. Perungo Thirumarai Chelvan,19,Gastroenterologist,800,100% ,Chromepet,Chennai
Dr. Aishwarya,9,Dentist,300,100% ,Perambur,Chennai
Dr. Ramakrishnan Nagarajan,34,General Physician,1000,100% ,Greams Road,Chennai
Dr. Ashok Kumar,14,Homoeopath,800,100% ,Kovilambakkam,Chennai
Dr. Vishnu priya   (Physiotherapist),3,Physiotherapist,500,100% ,Shenoy Nagar,Chennai
Dr. Ravi Kumar,34,Cardiologist,1200,100% ,Anna Nagar,Chennai
Dr. Malar K T,21,Gynecologist/Obstetrician,600,100% ,OMR Road,Chennai
Dr. Viswanathan V,36,General Physician,1000,100% ,Thousand Lights,Chennai
Dr. Arun   (Physiotherapist),5,Physiotherapist,500,100% ,Mogappair East,Chennai
Dr. Venkateswaran,15,Psychiatrist,1000,88% ,Thousand Lights,Chennai
Dr. Balasubramaniam A,12,General Surgeon,650,44% ,Valasaravakkam,Chennai
Dr. Ramya Shri,21,Pediatrician,1200,100% ,Anna Nagar,Chennai
Dr. N Ashwak Ahmed,15,Dermatologist,700,100% ,OMR Road,Chennai
Dr. Soumitra Sinha Roy,29,Pulmonologist,1000,50% ,Anna Nagar,Chennai
Dr. Dolly Lakhani,27,General Physician,700,100% ,Kilpauk,Chennai
Dr. Sanketh Reddy,18,Dentist,500,60% ,Greams Road,Chennai
Dr. Manjula Ranganthan M,19,General Physician,450,60% ,Valasaravakkam,Chennai
Dr. Nithya J,15,Gynecologist/Obstetrician,700,67% ,OMR Road,Chennai
Dr. Divya priya,5,Dentist,150,100% ,Teynampet,Chennai
Dr. B. Prakash Vijayan,12,Dentist,500,100% ,Nanganallur,Chennai
